id,name,slug,pagePath,url
"130","nokkel.com","nokkel-com","/sites/nokkel-com","https://nokkel.com"
"131","framessystem.com","framessystem-com","/sites/framessystem-com","https://framessystem.com"
"132","tattooidea.art","tattooidea-art","/sites/tattooidea-art","https://tattooidea.art"
"133","sparkloop.app","sparkloop-app","/sites/sparkloop-app","https://sparkloop.app"
"134","planzer.io","planzer-io","/sites/planzer-io","https://planzer.io"
"135","slidddo.com","slidddo-com","/sites/slidddo-com","https://slidddo.com"
"136","mydesignbuddy.co.uk","mydesignbuddy-co-uk","/sites/mydesignbuddy-co-uk","https://mydesignbuddy.co.uk"
"137","useparallel.com","useparallel-com","/sites/useparallel-com","https://useparallel.com"
"138","reflect.app","reflect-app","/sites/reflect-app","https://reflect.app"
"139","nbundle.com","nbundle-com","/sites/nbundle-com","https://nbundle.com"
"140","en.order.link","en-order-link","/sites/en-order-link","https://en.order.link"
"141","buildwithflow.io","buildwithflow-io","/sites/buildwithflow-io","https://buildwithflow.io"
"142","hagrid.io","hagrid-io","/sites/hagrid-io","https://hagrid.io"
"143","rivermate.com","rivermate-com","/sites/rivermate-com","https://rivermate.com"
"144","dorik.com","dorik-com","/sites/dorik-com","https://dorik.com/cms"
"145","landingfolio.com","landingfolio-com","/sites/landingfolio-com","https://landingfolio.com/fixcolab.com"
"146","shiftx.com","shiftx-com","/sites/shiftx-com","https://shiftx.com"
"147","signatureprodesign.com","signatureprodesign-com","/sites/signatureprodesign-com","https://signatureprodesign.com"
"148","simpu.co","simpu-co","/sites/simpu-co","https://simpu.co"
"149","burb.co","burb-co","/sites/burb-co","https://burb.co"
"150","latana.com","latana-com","/sites/latana-com","https://latana.com"
"151","digitaltoucan.com","digitaltoucan-com","/sites/digitaltoucan-com","https://digitaltoucan.com"
"152","future.1password.com","future-1password-com","/sites/future-1password-com","https://future.1password.com"
"153","designmaestro.io","designmaestro-io","/sites/designmaestro-io","https://designmaestro.io"
"154","automator.design","automator-design","/sites/automator-design","https://automator.design"
"155","caboodle.studio","caboodle-studio","/sites/caboodle-studio","https://caboodle.studio"
"156","metarouter.io","metarouter-io","/sites/metarouter-io","https://metarouter.io"
"157","seo.do","seo-do","/sites/seo-do","https://seo.do"
"158","zeo.org","zeo-org","/sites/zeo-org","https://zeo.org"
"159","landingfolio.com","landingfolio-com","/sites/landingfolio-com","https://landingfolio.com/viewport.co"
"160","dona.ai","dona-ai","/sites/dona-ai","https://dona.ai"
"161","upword.ai","upword-ai","/sites/upword-ai","https://upword.ai"
"162","mage.ai","mage-ai","/sites/mage-ai","https://mage.ai"
"163","startupstofund.com","startupstofund-com","/sites/startupstofund-com","https://startupstofund.com"
"164","coinfalcon.com","coinfalcon-com","/sites/coinfalcon-com","https://coinfalcon.com/en"
"165","abyssale.com","abyssale-com","/sites/abyssale-com","https://abyssale.com/dynamic-images"
"166","scale.com","scale-com","/sites/scale-com","https://scale.com"
"167","alteredstatemachine.xyz","alteredstatemachine-xyz","/sites/alteredstatemachine-xyz","https://alteredstatemachine.xyz"
"168","runwayml.com","runwayml-com","/sites/runwayml-com","https://runwayml.com"
"169","obviously.ai","obviously-ai","/sites/obviously-ai","https://obviously.ai"
"170","watermelon.co","watermelon-co","/sites/watermelon-co","https://watermelon.co"
"171","reclaim.ai","reclaim-ai","/sites/reclaim-ai","https://reclaim.ai"
"172","synthesia.io","synthesia-io","/sites/synthesia-io","https://synthesia.io"
"173","resolute.ai","resolute-ai","/sites/resolute-ai","https://resolute.ai"
"174","generated.photos","generated-photos","/sites/generated-photos","https://generated.photos"
"175","driveghost.com","driveghost-com","/sites/driveghost-com","https://driveghost.com"
"176","checkr.com","checkr-com","/sites/checkr-com","https://checkr.com"
"177","smarterpatterns.com","smarterpatterns-com","/sites/smarterpatterns-com","https://smarterpatterns.com"
"178","apres.io","apres-io","/sites/apres-io","https://apres.io"
"179","otter.ai","otter-ai","/sites/otter-ai","https://otter.ai"
"180","superb-ai.com","superb-ai-com","/sites/superb-ai-com","https://superb-ai.com"
"181","vaiot.ai","vaiot-ai","/sites/vaiot-ai","https://vaiot.ai"
"182","tara.ai","tara-ai","/sites/tara-ai","https://tara.ai"
"183","looka.com","looka-com","/sites/looka-com","https://looka.com/logo-maker"
"184","rebanknow.com","rebanknow-com","/sites/rebanknow-com","https://rebanknow.com/roast-my-finance-stack"
"185","codat.io","codat-io","/sites/codat-io","https://codat.io/assess"
"186","local-membership-template.webflow.io","local-membership-template-webflow-io","/sites/local-membership-template-webflow-io","https://local-membership-template.webflow.io"
"187","coastpay.com","coastpay-com","/sites/coastpay-com","https://coastpay.com"
"188","empower.me","empower-me","/sites/empower-me","https://empower.me"
"189","squareup.com","squareup-com","/sites/squareup-com","https://squareup.com/us/en/hardware/register"
